inner_x,inner_y,outer_x,outer_y
4.228318358333333471e+00,4.577718898139999659e+00,3.931093200333331872e+00,3.791486647015196887e+00
4.228303433333333139e+00,4.577105591786666317e+00,3.931053201333331248e+00,3.789842985988263635e+00
4.228288558333333391e+00,4.576493413113333020e+00,3.931013336333331942e+00,3.788202347143730275e+00
4.228273733333333340e+00,4.575882360959999673e+00,3.930973605333331733e+00,3.786564727372796924e+00
4.228258958333333872e+00,4.575272434166666180e+00,3.930934008333332841e+00,3.784930123566662807e+00
4.228244233333333213e+00,4.574663631573333333e+00,3.930894545333331269e+00,3.783298532616531151e+00
4.228229558333333138e+00,4.574055952020000149e+00,3.930855216333331015e+00,3.781669951413598074e+00
4.228214933333333647e+00,4.573449394346666530e+00,3.930816021333332522e+00,3.780044376849064136e+00
4.228200358333333853e+00,4.572843957393333270e+00,3.930776960333333125e+00,3.778421805814130785e+00
4.228185833333333754e+00,4.572239639999999383e+00,3.930738033333332826e+00,3.776802235199996360e+00
4.228171358333333352e+00,4.571636441006666551e+00,3.930699240333331623e+00,3.775185661897864087e+00
4.228156933333333534e+00,4.571034359253332902e+00,3.930660581333332182e+00,3.773572082798930083e+00
4.228142558333333412e+00,4.570433393580000114e+00,3.930622056333331837e+00,3.771961494794398018e+00
4.228128233333333874e+00,4.569833542826666317e+00,3.930583665333333254e+00,3.770353894775463566e+00
4.228113958333333144e+00,4.569234805833333191e+00,3.930545408333331103e+00,3.768749279633330396e+00
4.228099733333333887e+00,4.568637181439999750e+00,3.930507285333332934e+00,3.767147646259196847e+00
4.228085558333333438e+00,4.568040668486666789e+00,3.930469296333332085e+00,3.765548991544264812e+00
4.228071433333333573e+00,4.567445265813333322e+00,3.930431441333332110e+00,3.763953312379730853e+00
4.228057358333333404e+00,4.566850972260000141e+00,3.930393720333331675e+00,3.762360605656798196e+00
4.228043333333333820e+00,4.566257786666666263e+00,3.930356133333333002e+00,3.760770868266663403e+00
4.228029358333333931e+00,4.565665707873333368e+00,3.930318680333333425e+00,3.759184097100531474e+00
4.228015433333333739e+00,4.565074734719999583e+00,3.930281361333332946e+00,3.757600289049596753e+00
4.228001558333333243e+00,4.564484866046666589e+00,3.930244176333331563e+00,3.756019441005064241e+00
4.227987733333333331e+00,4.563896100693333402e+00,3.930207125333331497e+00,3.754441549858131388e+00
4.227973958333333115e+00,4.563308437499999926e+00,3.930170208333330972e+00,3.752866612499997423e+00
4.227960233333333484e+00,4.562721875306666064e+00,3.930133425333332209e+00,3.751294625821862461e+00
4.227946558333333549e+00,4.562136412953333497e+00,3.930096776333332098e+00,3.749725586714931502e+00
4.227932933333333310e+00,4.561552049279999466e+00,3.930060261333331528e+00,3.748159492070396226e+00
4.227919358333333655e+00,4.560968783126666537e+00,3.930023880333332720e+00,3.746596338779464297e+00
4.227905833333333696e+00,4.560386613333332839e+00,3.929987633333332564e+00,3.745036123733330058e+00
4.227892358333333434e+00,4.559805538740000053e+00,3.929951520333331949e+00,3.743478843823197622e+00
4.227878933333333755e+00,4.559225558186666305e+00,3.929915541333332651e+00,3.741924495940263107e+00
4.227865558333333773e+00,4.558646670513333277e+00,3.929879696333332895e+00,3.740373076975730626e+00
4.227852233333333487e+00,4.558068874559999983e+00,3.929843985333332235e+00,3.738824583820797631e+00
4.227838958333333785e+00,4.557492169166666329e+00,3.929808408333332892e+00,3.737279013366663349e+00
4.227825733333333780e+00,4.556916553173333106e+00,3.929772965333332646e+00,3.735736362504530561e+00
4.227812558333333470e+00,4.556342025420000219e+00,3.929737656333331941e+00,3.734196628125598494e+00
4.227799433333333745e+00,4.555768584746666683e+00,3.929702481333332553e+00,3.732659807121064155e+00
4.227786358333333716e+00,4.555196229993333290e+00,3.929667440333332706e+00,3.731125896382130769e+00
4.227773333333333383e+00,4.554624959999999945e+00,3.929632533333331956e+00,3.729594892799997563e+00
4.227760358333333635e+00,4.554054773606666551e+00,3.929597760333332523e+00,3.728066793265863765e+00
4.227747433333333582e+00,4.553485669653333012e+00,3.929563121333332187e+00,3.726541594670930380e+00
4.227734558333333226e+00,4.552917646980000121e+00,3.929528616333331392e+00,3.725019293906397966e+00
4.227721733333333454e+00,4.552350704426666894e+00,3.929494245333331914e+00,3.723499887863464863e+00
4.227708958333333378e+00,4.551784840833333234e+00,3.929460008333331977e+00,3.721983373433330744e+00
4.227696233333333886e+00,4.551220055039999934e+00,3.929425905333332913e+00,3.720469747507197500e+00
4.227683558333333202e+00,4.550656345886666898e+00,3.929391936333331170e+00,3.718959006976264803e+00
4.227670933333333103e+00,4.550093712213333141e+00,3.929358101333331188e+00,3.717451148731730548e+00
4.227658358333333588e+00,4.549532152859999456e+00,3.929324400333332079e+00,3.715946169664796184e+00
4.227645833333333769e+00,4.548971666666666636e+00,3.929290833333332955e+00,3.714444066666664490e+00
4.227633358333333646e+00,4.548412252473332806e+00,3.929257400333332484e+00,3.712944836628529366e+00
4.227620933333333220e+00,4.547853909119999649e+00,3.929224101333331554e+00,3.711448476441596700e+00
4.227608558333333377e+00,4.547296635446666180e+00,3.929190936333331940e+00,3.709954982997063055e+00
4.227596233333333231e+00,4.546740430293333191e+00,3.929157905333331424e+00,3.708464353186130769e+00
4.227583958333333669e+00,4.546185292499999697e+00,3.929125008333332669e+00,3.706976583899996847e+00
4.227571733333333803e+00,4.545631220906666492e+00,3.929092245333333011e+00,3.705491672029864070e+00
4.227559558333333634e+00,4.545078214353333479e+00,3.929059616333332450e+00,3.704009614466931666e+00
4.227547433333333160e+00,4.544526271679999674e+00,3.929027121333330985e+00,3.702530408102396642e+00
4.227535358333333271e+00,4.543975391726666757e+00,3.928994760333331282e+00,3.701054049827464887e+00
4.227523333333333078e+00,4.543425573333332856e+00,3.928962533333331120e+00,3.699580536533329855e+00
4.227511358333333469e+00,4.542876815339999652e+00,3.928930440333331831e+00,3.698109865111196548e+00
4.227499433333333556e+00,4.542329116586666160e+00,3.928898481333332082e+00,3.696642032452262860e+00
4.227487558333333340e+00,4.541782475913333172e+00,3.928866656333331875e+00,3.695177035447730685e+00
4.227475733333333707e+00,4.541236892159999705e+00,3.928834965333332541e+00,3.693714870988797028e+00
4.227463958333333771e+00,4.540692364166666550e+00,3.928803408333332747e+00,3.692255535966664226e+00
4.227452233333333531e+00,4.540148890773332724e+00,3.928771985333332051e+00,3.690799027272529287e+00
4.227440558333333875e+00,4.539606470819999906e+00,3.928740696333333116e+00,3.689345341797597655e+00
4.227428933333333916e+00,4.539065103146666225e+00,3.928709541333333277e+00,3.687894476433063229e+00
4.227417358333333652e+00,4.538524786593333360e+00,3.928678520333332536e+00,3.686446428070131454e+00
4.227405833333333085e+00,4.537985519999999440e+00,3.928647633333330891e+00,3.685001193599996228e+00
4.227394358333333102e+00,4.537447302206666144e+00,3.928616880333331007e+00,3.683558769913862996e+00
4.227382933333333703e+00,4.536910132053333378e+00,3.928586261333332441e+00,3.682119153902931430e+00
4.227371558333333113e+00,4.536374008380000156e+00,3.928555776333331195e+00,3.680682342458398093e+00
4.227360233333333106e+00,4.535838930026666382e+00,3.928525425333330823e+00,3.679248332471463545e+00
4.227348958333333684e+00,4.535304895833332850e+00,3.928495208333332656e+00,3.677817120833329678e+00
4.227337733333333958e+00,4.534771904639999462e+00,3.928465125333333141e+00,3.676388704435196608e+00
4.227326558333333928e+00,4.534239955286666124e+00,3.928435176333333168e+00,3.674963080168263119e+00
4.227315433333333594e+00,4.533709046613332738e+00,3.928405361333332291e+00,3.673540244923729325e+00
4.227304358333333845e+00,4.533179177460000098e+00,3.928375680333333175e+00,3.672120195592798009e+00
4.227293333333333791e+00,4.532650346666666330e+00,3.928346133333332713e+00,3.670702929066663511e+00
4.227282358333333434e+00,4.532122553073333115e+00,3.928316720333331791e+00,3.669288442236530390e+00
4.227271433333333661e+00,4.531595795519999470e+00,3.928287441333332630e+00,3.667876731993596096e+00
4.227260558333333584e+00,4.531070072846666186e+00,3.928258296333332122e+00,3.666467795229062965e+00
