m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125,m126,m127,m128
3.390608254436567215e+00,3.393105446323426033e+00,3.446608085651306386e+00,3.496389757674463361e+00,3.553448389236639748e+00,3.396002674926177356e+00,3.362632281906147380e+00,3.409359897715965371e+00,3.427566651393259001e+00,3.476314055779747836e+00,3.504959957532282733e+00,3.544268165040397101e+00,3.590938125926350644e+00,3.460466460246518494e+00,3.374364852742733678e+00,3.352213571941263126e+00,3.349339278300951683e+00,3.389479140468355300e+00,3.418671065300181944e+00,3.446455611833097787e+00,3.477893134818553555e+00,3.426074085794577950e+00,3.462801825803428990e+00,3.499094202210860871e+00,3.535143364038420000e+00,3.568637852041641523e+00,3.601903218954991548e+00,3.631387900292267545e+00,3.661330845083373031e+00,3.802062582206222174e+00,3.823064150288176144e+00,3.726348325021384245e+00,3.697263196160271104e+00,3.697425202117803789e+00,3.723152362715838493e+00,3.611447248345646344e+00,3.569100117031520636e+00,3.481911118589948728e+00,3.456218343614909205e+00,3.439645228206550165e+00,3.385097965053549096e+00,3.395686196486070951e+00,3.420969276786916868e+00,3.350006063532592560e+00,3.291459212725839745e+00,3.233468093207241711e+00,3.189813435344727388e+00,3.204015084889849430e+00,3.262286942447588878e+00,3.243320989025920920e+00,3.098890899493789153e+00,2.938507789202063236e+00,2.904381958728821989e+00,2.945983714555401534e+00,3.049868357863714685e+00,3.060271392327271744e+00,2.964110397718870971e+00,2.981802730666765822e+00,2.985826266519182148e+00,2.892466207179707371e+00,2.820633831161483585e+00,2.788175036090089431e+00,2.768058325977431178e+00,2.740633285655433404e+00,2.744177807472419239e+00,2.732637681356267390e+00,2.688426273708676817e+00,2.585484667867334441e+00,2.488082934082418429e+00,2.419158790108102419e+00,2.383565507212567436e+00,2.349316079809671276e+00,2.331752438439921971e+00,2.315659165822821830e+00,2.319820264464336201e+00,2.269817356206631054e+00,2.253379760919215880e+00,2.234663108732796388e+00,2.179738444436211786e+00,2.155013377444985334e+00,2.090865742777440417e+00,2.082633586782584700e+00,2.092260062393403341e+00,2.030080050588527474e+00,2.012346632218338094e+00,1.993421168737407934e+00,1.998718503006099656e+00,2.006658208851328506e+00,1.997370177684489212e+00,2.007536238459508127e+00,2.013309337935761167e+00,2.022137184682363920e+00,2.030135321521850944e+00,2.023301205736823594e+00,2.032076173588520884e+00,2.025048599895039381e+00,1.989297141518041823e+00,1.987434127155638386e+00,1.996974216718156558e+00
3.239415850417793230e+00,3.187265083381100261e+00,3.062305463848093101e+00,3.110811778993673116e+00,3.159393180496811393e+00,3.200118610022157473e+00,3.203322700073147900e+00,3.234360475340194885e+00,3.223867410105837106e+00,3.210329952211750548e+00,3.245270865278082173e+00,3.280063776156390887e+00,3.323843390720427227e+00,3.347206522511270155e+00,3.293331068201458045e+00,3.285738791454669183e+00,3.175832184693996751e+00,3.118500745403311569e+00,3.127245694374459095e+00,3.059628406603762230e+00,3.022206426661048440e+00,2.927670227995018415e+00,2.916031662842228478e+00,2.909776361044127846e+00,2.913883614372600128e+00,2.839189979867525526e+00,2.786221830728179416e+00,2.748013541616056266e+00,2.723059323976471990e+00,2.707532491711960088e+00,2.650298644236757539e+00,2.656941634996184298e+00,2.626941935965419361e+00,2.641600807536335083e+00,2.665574847462524932e+00,2.678698891237696333e+00,2.661966314205304052e+00,2.677644954710066028e+00,2.667213031762570630e+00,2.662097061459215652e+00,2.681274533100490576e+00,2.691244432178647283e+00,2.672358166285091485e+00,2.531638600057203536e+00,2.412806293949033343e+00,2.304311069788484101e+00,2.205228043547074801e+00,2.142766099088559084e+00,2.008391233123963726e+00,1.885981443877678077e+00,1.742329544003500041e+00,1.711929229881892223e+00,1.686526180594688729e+00,1.681845950050695926e+00,1.673887681020645113e+00,1.641700148035982298e+00,1.641848184048237735e+00,1.654759475347972630e+00,1.657561946755773619e+00,1.669032103652957177e+00,1.680761011103123481e+00,1.671869725357296055e+00,1.666088421713756818e+00,1.675172180381757858e+00,1.684287607406156351e+00,1.680966256173657802e+00,1.692871497586397211e+00,1.686016538649667718e+00,1.680924251622606169e+00,1.691372525897124168e+00,1.648789095115319459e+00,1.610444171262779500e+00,1.606475778581367253e+00,1.577741379918326414e+00,1.563972090666773118e+00,1.568792792117466472e+00,1.577740994309665412e+00,1.576123827120749610e+00,1.586459983954402020e+00,1.558219992528480535e+00,1.561518653522969258e+00,1.554368712348680681e+00,1.563865348310315095e+00,1.547632386907014546e+00,1.489349522636563172e+00,1.476834745086078593e+00,1.423702425505490199e+00,1.377645114645772217e+00,1.372572487791621221e+00,1.377395584905588333e+00,1.357362701426658491e+00,1.362313395314486142e+00,1.342904350528124402e+00,1.342843827290317815e+00,1.350987995870204905e+00,1.311665919409225056e+00,1.309200831451418079e+00,1.315352999372439324e+00,1.319519567367522406e+00
1.542971020836887419e+00,1.574225245384931693e+00,1.594719588170242730e+00,1.614109099897841570e+00,1.561857530841620267e+00,1.537337099926695094e+00,1.567629147055187078e+00,1.556247168223855226e+00,1.453016609640247481e+00,1.345398066323398201e+00,1.347522354725519289e+00,1.372063843202284028e+00,1.351395432599582280e+00,1.356232740375752366e+00,1.380290398844110422e+00,1.402068731511548094e+00,1.392881605504726839e+00,1.397845797693269221e+00,1.418363060354925764e+00,1.402483077246633458e+00,1.411360309564308357e+00,1.389927509776685000e+00,1.398535456949043132e+00,1.395485680289353603e+00,1.412463030084481153e+00,1.341629391484396638e+00,1.312884411011861374e+00,1.279716966496194486e+00,1.266552840779362477e+00,1.233742982796126819e+00,1.133617734462006199e+00,1.135012215606693520e+00,1.149180643206361152e+00,1.116549498203139423e+00,1.130369844304932592e+00,1.144334078493188578e+00,1.145572314730464170e+00,1.160633063200998238e+00,1.147901746840642057e+00,1.130165114022971817e+00,1.144478881651026958e+00,1.153498658042485081e+00,1.160942212958238295e+00,1.110204953116666671e+00,1.081013965090144247e+00,1.055844621093391833e+00,1.009709097526486188e+00,9.723154319088808117e-01,9.043568835408283269e-01,8.404593345958949469e-01,7.970642377247127985e-01,8.066882846386751460e-01,8.168476151890073922e-01,8.764603973381196456e-01,8.956205774886747406e-01,8.949221400470208643e-01,9.063859906921001297e-01,9.000133885392337385e-01,9.107290615538774503e-01,9.103069630186763073e-01,9.196219463712541620e-01,9.280250706495795088e-01,9.278153040326472256e-01,8.993339356264781204e-01,9.084816594200006978e-01,9.010704970685036175e-01,9.111693480628709763e-01,9.214609309732190168e-01,9.304492940279518454e-01,9.357487852355165225e-01,9.257578423665987488e-01,9.244834525491469890e-01,9.302207639134700834e-01,9.080820538761131822e-01,8.773422850663199490e-01,8.865724707924940162e-01,8.936001895935122841e-01,9.030052415724379999e-01,8.911933670419770470e-01,8.989960183652678793e-01,8.976333524346329362e-01,8.864072701587126790e-01,8.954215210452143303e-01,9.041800843379403929e-01,8.908133789040380002e-01,8.994460183079638904e-01,8.863974479663333517e-01,8.584565216125270570e-01,8.648273588004147250e-01,8.724324584251305081e-01,8.535280403052544207e-01,8.611133880622319214e-01,8.576775249645500754e-01,8.621941040955432012e-01,8.646723626912156124e-01,8.430949050513878440e-01,8.501360015601449049e-01,8.572788393891825898e-01,8.393583788231024911e-01
3.425257566305241141e+00,3.320832790954142855e+00,3.328332907271409180e+00,3.311199854721601277e+00,3.228267451743636052e+00,2.940465090858676245e+00,2.825296016263335375e+00,2.774308895679832965e+00,2.645994540803706663e+00,2.574415343812225920e+00,2.583164855835052176e+00,2.590344206429228802e+00,2.542670032674276381e+00,2.339897844058906440e+00,2.235060368594543156e+00,2.174706802775358216e+00,2.166467796595445527e+00,2.183904674303089877e+00,2.160576691704167107e+00,2.184953667027323743e+00,2.210475271906206185e+00,2.235655771661408941e+00,2.261126764964333180e+00,2.273059716864252788e+00,2.297954727983353873e+00,2.290054840819102377e+00,2.309703126019523989e+00,2.317919777417613236e+00,2.337437643865019510e+00,2.466510737515866136e+00,2.519497088032240484e+00,2.376518886782434503e+00,2.323978624765005385e+00,2.256957292552976391e+00,2.250692264063778314e+00,2.198707909049542497e+00,2.199330180701302151e+00,2.197155702208386518e+00,2.216291229521611950e+00,2.235550137705344831e+00,2.247111778835168217e+00,2.215884757350439660e+00,2.224226729058227825e+00,2.232697318903442696e+00,2.232529934935956195e+00,2.233404225605581939e+00,2.250439901849131008e+00,2.265864948621203911e+00,2.292027106597218200e+00,2.326994405730587800e+00,2.326294602106576015e+00,2.248587539967362492e+00,2.265777752463181027e+00,2.340710685181058626e+00,2.412033643520185233e+00,2.341241501802953096e+00,2.339118800933063458e+00,2.338538575135197028e+00,2.353817475829394379e+00,2.300020872181896436e+00,2.290874955317073081e+00,2.283928709487532238e+00,2.296682691182904801e+00,2.229563248822429955e+00,2.211846196363513428e+00,2.225929699307320764e+00,2.233149818273284293e+00,2.209239199855575375e+00,2.171585985587593637e+00,2.146867439015040624e+00,2.154890289888457655e+00,2.155284236460375702e+00,2.160667336100829949e+00,2.172344839290487606e+00,2.170244424797362903e+00,2.178741013366420898e+00,2.190512562684642894e+00,2.171583099130259598e+00,2.115740716886281181e+00,2.095647283939139349e+00,2.037544265345013539e+00,2.031421694825227942e+00,2.041594753682439478e+00,2.031694901238808360e+00,2.040579933939171919e+00,2.041052227644448269e+00,2.052011392676483137e+00,2.057159909811971943e+00,2.067806994938351295e+00,2.077681463926182914e+00,2.074581035740605817e+00,2.081644078233237050e+00,2.091402844669067118e+00,2.100649100309060824e+00,2.108531972954855060e+00,2.117698767990801034e+00,2.125521240853724958e+00,2.130723024837059665e+00,2.117716439813316143e+00
1.756973654693924969e+00,1.793356505224910080e+00,1.783157997678592954e+00,1.818617544272959741e+00,1.813077907861203153e+00,1.782822653138342206e+00,1.812939893416933401e+00,1.781128868754724648e+00,1.653446530061393860e+00,1.577124541312813433e+00,1.588948319441735535e+00,1.615274367429649249e+00,1.625797091644283432e+00,1.626389919437451592e+00,1.650020477888671122e+00,1.675644571166029051e+00,1.660793929590670626e+00,1.637905291151759979e+00,1.659950624266762542e+00,1.610421679914811888e+00,1.594737414001154541e+00,1.572341960741080014e+00,1.558328564534083638e+00,1.536192164939989224e+00,1.540191794309267115e+00,1.440447951578064378e+00,1.382152816678702489e+00,1.317296871399115998e+00,1.276209901152293158e+00,1.224147853647174822e+00,1.099790400495197495e+00,1.087641531953386087e+00,1.103930655125945570e+00,1.041585881652235424e+00,1.047913157461556333e+00,1.044111754635107081e+00,1.058217032364286991e+00,1.065771472676122267e+00,1.074281196388729764e+00,1.080286099655459298e+00,1.089770663969701348e+00,1.103395647516619560e+00,1.100508109902378351e+00,1.061319416756635992e+00,1.039218823591037122e+00,1.022866973209549668e+00,9.921857331305056205e-01,9.453532131225113044e-01,8.896360571363373104e-01,8.284337155137960762e-01,7.992874687274093004e-01,8.118716092872768630e-01,8.415957649824320486e-01,9.104117931203357106e-01,9.606983397021299220e-01,9.604885650521108875e-01,9.666124858351036186e-01,9.754781032783657047e-01,9.769972621257458911e-01,9.506960422736852045e-01,9.433443099267162513e-01,9.535494489199444201e-01,9.641204488118814142e-01,9.173037809384838592e-01,9.212169545048848329e-01,9.294791222929272845e-01,9.299361293619193836e-01,9.343879306656356354e-01,9.360155742818840885e-01,9.261658548497786470e-01,9.292074232199445394e-01,9.359761667986153943e-01,9.458412142090106833e-01,9.415863661227682480e-01,9.297222141012110308e-01,9.381593011429546491e-01,9.476374279404784495e-01,9.543860021439982688e-01,9.290513478073739728e-01,9.380874515912592804e-01,9.321203271604845408e-01,9.024578030423123787e-01,9.087940565637314672e-01,9.176910878360271528e-01,9.093927676756091705e-01,9.173254859785827664e-01,8.996604130765978313e-01,8.702335588610988770e-01,8.761266055185860102e-01,8.804858172408013273e-01,8.495245885636690808e-01,8.577122789346091070e-01,8.434869213679991873e-01,8.374438763196035973e-01,8.452175222160819290e-01,8.332069744928961574e-01,8.412876527980389652e-01,8.487226383465920065e-01,8.445467939366018140e-01
5.025533212171827913e+00,4.782718104557054595e+00,4.477715380892539621e+00,4.176606992519112715e+00,4.046526216046477664e+00,4.106234425432963242e+00,4.140597522637163408e+00,4.202367896783559154e+00,4.254531346385931556e+00,4.271868967271456263e+00,4.245399805159509654e+00,4.058513566245387949e+00,3.987033603598569176e+00,4.038170133119975524e+00,4.048730119120008020e+00,4.091982262961430195e+00,4.063539530089316010e+00,3.852059202852351927e+00,3.763195634956581603e+00,3.756786377390949117e+00,3.708865536475748570e+00,3.746887185001787746e+00,3.716899675298021677e+00,3.740077985581338194e+00,3.699983369306379721e+00,3.683210970130846640e+00,3.615584464512749729e+00,3.571452141424547033e+00,3.507482535232397947e+00,3.506423725178027695e+00,3.475003958652928659e+00,3.504121595801971800e+00,3.533374114434048252e+00,3.553526907944478008e+00,3.584209307902436414e+00,3.510579969811409295e+00,3.494212555710698442e+00,3.355276710488106939e+00,3.294280337709440953e+00,3.210915678008562590e+00,3.070888519772482450e+00,3.043794317938504523e+00,2.973032077869448120e+00,2.991664612337952445e+00,3.014489875381844541e+00,3.035985658386501918e+00,3.040718119117072238e+00,3.060605288922930711e+00,3.181404723668078027e+00,3.223031198601870262e+00,3.248555505449786551e+00,3.385533048422616709e+00,3.447274738368183655e+00,3.503255688533430057e+00,3.560341055047572922e+00,3.600886355267869821e+00,3.499176304768491175e+00,3.439653598183953331e+00,3.336223213011699329e+00,3.287883014480477151e+00,3.193789333981981393e+00,3.189115282861540557e+00,3.151625987652821426e+00,3.165727508880147756e+00,3.184365475564570502e+00,3.129710720102635069e+00,3.031489042671599687e+00,2.988955164875819914e+00,2.972373937637157404e+00,2.932075969249418712e+00,2.930482386008954609e+00,2.940592065054874027e+00,2.936729325771080035e+00,2.909284085794540786e+00,2.874242285684296849e+00,2.815359273335700685e+00,2.746888256812368034e+00,2.761091971602273265e+00,2.765338120711428704e+00,2.776936463380377251e+00,2.790640555518523858e+00,2.765416704908433942e+00,2.767120318633634835e+00,2.773545953633244743e+00,2.787446643747751196e+00,2.800451556270139974e+00,2.803280333981386985e+00,2.816872179305885737e+00,2.825988428712876477e+00,2.838442377012964979e+00,2.840511741109839505e+00,2.840118898679321102e+00,2.817978268781212936e+00,2.765408959067938266e+00,2.748306344279395130e+00,2.749140645386252579e+00,2.729543235643546062e+00,2.641871116940799347e+00,2.600648873467355404e+00
2.039907761432626643e+00,2.076933347234497962e+00,2.066791484727043215e+00,2.065608191307836350e+00,2.104210336661040515e+00,2.040368150486724375e+00,1.873244338995291969e+00,1.776237866087111206e+00,1.781248975557167658e+00,1.811121877263863533e+00,1.805601091866013030e+00,1.815127738883254960e+00,1.843464137402870850e+00,1.807719501745905788e+00,1.816378957559116492e+00,1.697615595029357216e+00,1.655713225263419242e+00,1.669868670242367736e+00,1.690645704718449327e+00,1.680522420826377816e+00,1.688301119608605960e+00,1.711092986642798186e+00,1.711327603574742673e+00,1.705004990427472888e+00,1.717035570196070893e+00,1.737367262120525169e+00,1.754196171738689358e+00,1.774682047314923405e+00,1.794058957417489664e+00,1.799492793847194960e+00,1.901376319917401636e+00,1.874175165913538610e+00,1.782143709526300857e+00,1.785982985897290432e+00,1.745140554199065663e+00,1.730032263873423792e+00,1.655960480693604131e+00,1.659303393307089758e+00,1.618448389948828225e+00,1.594751660699549101e+00,1.607526260471885404e+00,1.623207256806910914e+00,1.618733209996009004e+00,1.572304007967283646e+00,1.524431447186240351e+00,1.478902935818626529e+00,1.459187914008620579e+00,1.469109028590884325e+00,1.459266986449542225e+00,1.449572164280538145e+00,1.513073206611893262e+00,1.526751377522932884e+00,1.546071742031158269e+00,1.603881173756107836e+00,1.639633451768912176e+00,1.675616298530019144e+00,1.678668924144843366e+00,1.686178365018925041e+00,1.697579445865289527e+00,1.680653318535602514e+00,1.679885230999412560e+00,1.617007908883992151e+00,1.583304374221229605e+00,1.577228959482734894e+00,1.529859075003557445e+00,1.511746288599072896e+00,1.520708296305945284e+00,1.515089807667759692e+00,1.505470636831818476e+00,1.499914472471738369e+00,1.458563335518494153e+00,1.411094467661617502e+00,1.370879142186754773e+00,1.359484314836210572e+00,1.364682976627731747e+00,1.374316749509082669e+00,1.381990442683249221e+00,1.324594885625780538e+00,1.316254492455614544e+00,1.262259726643652824e+00,1.255776960687281285e+00,1.262752651452741848e+00,1.245480268458488471e+00,1.250999762667798665e+00,1.229913409477754183e+00,1.238804426395810676e+00,1.235910245425535070e+00,1.241524351941123649e+00,1.246610341118808307e+00,1.239344241983703521e+00,1.247868347752400187e+00,1.250994411837350384e+00,1.257720754850773170e+00,1.266097032978879877e+00,1.263196788601872900e+00,1.258168538448784179e+00,1.266368494815782286e+00,1.269155834869384547e+00,1.275756050756256865e+00
5.025533212171827913e+00,4.646988894570769801e+00,4.477715380892539621e+00,4.301089006173874907e+00,4.046526216046477664e+00,4.079722045082162296e+00,4.140597522637163408e+00,4.194222655527450883e+00,4.254531346385931556e+00,4.218754403844724443e+00,4.245399805159509654e+00,4.149757474823368320e+00,3.987033603598569176e+00,4.029892596897370893e+00,3.996721447158842810e+00,4.043906637666961679e+00,4.063539530089316010e+00,3.942398270291625817e+00,3.763195634956581603e+00,3.704363683982510036e+00,3.596138449377897839e+00,3.634555131121087079e+00,3.562341674624714294e+00,3.565716983267474660e+00,3.486922851850672522e+00,3.515146366496237906e+00,3.513982012819225176e+00,3.523593522096033048e+00,3.517593224283213083e+00,3.492033078142962488e+00,3.475003958652928659e+00,3.504944792983361701e+00,3.533374114434048252e+00,3.564234578165583756e+00,3.584209307902436414e+00,3.560390674486813012e+00,3.494212555710698442e+00,3.421223040836590457e+00,3.294280337709440953e+00,3.141315499749635975e+00,3.070888519772482450e+00,2.992941189349626718e+00,2.973032077869448120e+00,2.970986738865103671e+00,2.984983696590666202e+00,2.995229867623387943e+00,2.975765216354004039e+00,2.997362736188675658e+00,3.042458555430999745e+00,3.121724828379192740e+00,3.189781250934106360e+00,3.288530344534981165e+00,3.365970266851275650e+00,3.478172850443636221e+00,3.472527144393092957e+00,3.549498363623416974e+00,3.499176304768491175e+00,3.387761719399988269e+00,3.336223213011699329e+00,3.323464973994881611e+00,3.275681113993433424e+00,3.236107830360193560e+00,3.151625987652821426e+00,3.170493454347442341e+00,3.184365475564570502e+00,3.079801614042351865e+00,3.031489042671599687e+00,3.021858108067617454e+00,3.027442996910599149e+00,3.016890461204052354e+00,2.982381483735396355e+00,2.971120595167330958e+00,2.936729325771080035e+00,2.869604503159549846e+00,2.793467354215409593e+00,2.774050427836439070e+00,2.746888256812368034e+00,2.751032397323380341e+00,2.765338120711428704e+00,2.779278760642569068e+00,2.790640555518523858e+00,2.790431482228827420e+00,2.767120318633634835e+00,2.781051548081854730e+00,2.787446643747751196e+00,2.790111778208475446e+00,2.803280333981386985e+00,2.812547294646445373e+00,2.825988428712876477e+00,2.827886650969477333e+00,2.840511741109839505e+00,2.817015562493583314e+00,2.817978268781212936e+00,2.798136959736319263e+00,2.748306344279395130e+00,2.727395436762607872e+00,2.729543235643546062e+00,2.683805579114462603e+00,2.600648873467355404e+00
4.240816016449675097e+00,4.155665780222532746e+00,4.173311489663125151e+00,4.211590061210562119e+00,4.278186854467457501e+00,4.345091931733282564e+00,4.404735063932477601e+00,4.274685823440258936e+00,4.250795864135842983e+00,4.234396914000114087e+00,4.165110625014531998e+00,4.214983393995253458e+00,4.269168844026049570e+00,4.307932260647412193e+00,4.222552627277306847e+00,4.273769114640180611e+00,4.262793312380281918e+00,4.268135067205655275e+00,4.236703332374157860e+00,3.979550726808081862e+00,3.827087174440126471e+00,3.578708876137135064e+00,3.470334828498903512e+00,3.355041554791379443e+00,3.306157274781724720e+00,3.264543199267377904e+00,3.256747243383028234e+00,3.248272363667990881e+00,3.254912812771025621e+00,3.212135472262669378e+00,3.138559377459008815e+00,3.151319589776856667e+00,3.179580647586897513e+00,3.193443514611182366e+00,3.178088440539191595e+00,3.185804980083820848e+00,3.211582080756391289e+00,3.211088580096595368e+00,3.233770498370106328e+00,3.254508064976260329e+00,3.254936129265315614e+00,3.248306664566518176e+00,3.267380480964523048e+00,3.185781125570738670e+00,3.131999402677092981e+00,3.085713620782946975e+00,3.025167223518824500e+00,2.981184480633666034e+00,2.925729880079634970e+00,2.860186189877841567e+00,2.725972026143589577e+00,2.581830512774119235e+00,2.418036715664545699e+00,2.202027578687551390e+00,2.089679276043509226e+00,2.082401038983992869e+00,2.052633768388108404e+00,2.062053252910529544e+00,2.075668495499183752e+00,2.088891874675640192e+00,2.097526629578678303e+00,2.107000145676377389e+00,2.120708126757881562e+00,2.127825927154071373e+00,2.110264934256143032e+00,2.124010773805252494e+00,2.127031156168519122e+00,2.102224947971327307e+00,2.088665491774484906e+00,2.098974998975691619e+00,2.105652322813135857e+00,2.115551356496541580e+00,2.126018332156113022e+00,2.126005852827781872e+00,2.125583589718350375e+00,2.099269641465561609e+00,2.073537893191918613e+00,2.076129211198972868e+00,2.088117384121958686e+00,2.099906230913938909e+00,2.101361738116737765e+00,2.103009209600812390e+00,2.079899296087557747e+00,2.029818628092094901e+00,2.019370834945412696e+00,1.964057162940314516e+00,1.950362245828097141e+00,1.927085202748457293e+00,1.863963974638451093e+00,1.820510026940338033e+00,1.813533407184597435e+00,1.790007136077879313e+00,1.792896700041184843e+00,1.802502991721158798e+00,1.802255386423027739e+00,1.791794552264414975e+00,1.748382649650836340e+00,1.745898514251324141e+00,1.754921987054842036e+00
4.947734580599553844e+00,4.998534507491808832e+00,5.010810405701958459e+00,5.063508648523205480e+00,5.078901780029595692e+00,5.148260442992002694e+00,5.191637276839618842e+00,5.225576654460288850e+00,5.222239271844895114e+00,5.135414903564512024e+00,5.132208970823547212e+00,5.194144144826272402e+00,5.235042918058448791e+00,5.267226984441806259e+00,5.224453812805093023e+00,5.232732523407033653e+00,5.152495634809662661e+00,5.175187200524309361e+00,5.225950229055928986e+00,5.167519006734590192e+00,5.166597657473562144e+00,4.996491740058356612e+00,5.017978399894860608e+00,5.025623874258231538e+00,5.064267269753376155e+00,5.019893381343722538e+00,5.018808997978312370e+00,5.024902666301098719e+00,5.047451665483460026e+00,5.060027250472497684e+00,4.962804271515836696e+00,4.975118796553561928e+00,4.959320616085073574e+00,4.994782626781188561e+00,5.036452450907039413e+00,5.020186549730383696e+00,4.969912538832301330e+00,4.944986000377000757e+00,4.885520557636709782e+00,4.827968752291421417e+00,4.818858508247164885e+00,4.851746985005780388e+00,4.871439333488931211e+00,4.660354908270357477e+00,4.501796153582183990e+00,4.351930211004493287e+00,4.182561515245537542e+00,4.114684745459002535e+00,3.975548297355826044e+00,3.785717792916202473e+00,3.529922929711267088e+00,3.440947018833284243e+00,3.358067799604968151e+00,3.361762813371710124e+00,3.365021854592967987e+00,3.401579785134048795e+00,3.338773103438593015e+00,3.341616924147085665e+00,3.360370246999843324e+00,3.357882305557097435e+00,3.345444679406810007e+00,3.318646148369089222e+00,3.279069630324873419e+00,3.297058700225448113e+00,3.314905303523594249e+00,3.272161644456857754e+00,3.265508793644817498e+00,3.214283144853088636e+00,3.179896172037545377e+00,3.178302052292562241e+00,3.094606771092129893e+00,3.031799767653914568e+00,3.011921382663280689e+00,2.926794655350146712e+00,2.863618632747398252e+00,2.831791575457783594e+00,2.813311400633821346e+00,2.812589620093862042e+00,2.825857339704640037e+00,2.801254229449126942e+00,2.803482914927435843e+00,2.812831166706176500e+00,2.827067152688635510e+00,2.784946255859688247e+00,2.704743901008285878e+00,2.688370354216409908e+00,2.641718522531394608e+00,2.581248757792166337e+00,2.560704151627266167e+00,2.567796563021293998e+00,2.557694731298227886e+00,2.569243963682926957e+00,2.570391174980853677e+00,2.582406322418620892e+00,2.586480001772604620e+00,2.509390363544265590e+00,2.476219699382538941e+00,2.477608738173792791e+00,2.458671999981991707e+00
