x1,x2,x3
-15.0,-10.0,-14.0
9.0,0.0,8.0
-3.0,4.0,10.0
-19.0,6.0,12.0
-3.0,0.0,6.0
11.0,-32.0,-38.0
11.0,2.0,0.0
-11.0,32.0,38.0
-3.0,-2.0,-16.0
9.0,14.0,30.0
-3.0,-6.0,-2.0
-9.0,12.0,12.0
5.0,-24.0,-36.0
-11.0,16.0,8.0
-3.0,8.0,-4.0
7.0,0.0,18.0
9.0,18.0,16.0
11.0,-6.0,4.0
-1.0,12.0,-4.0
-7.0,16.0,12.0
1.0,-12.0,4.0
-3.0,-20.0,-10.0
-11.0,-14.0,-20.0
13.0,-2.0,4.0
-21.0,12.0,10.0
-1.0,6.0,8.0
1.0,8.0,20.0
-1.0,8.0,10.0
5.0,-10.0,-14.0
7.0,4.0,4.0
3.0,16.0,24.0
15.0,10.0,14.0
5.0,-28.0,-22.0
-5.0,-10.0,-2.0
-13.0,-2.0,10.0
7.0,-16.0,-12.0
-7.0,0.0,-18.0
-1.0,-20.0,-20.0
-3.0,12.0,6.0
-9.0,0.0,-8.0
-3.0,-16.0,-24.0
-9.0,-14.0,-30.0
7.0,-14.0,-10.0
7.0,6.0,6.0
-5.0,-6.0,-16.0
7.0,-10.0,-24.0
-3.0,10.0,18.0
-15.0,8.0,-6.0
-5.0,8.0,6.0
3.0,-8.0,4.0
3.0,2.0,16.0
-11.0,-2.0,0.0
11.0,-2.0,-10.0
-15.0,4.0,8.0
-5.0,10.0,14.0
3.0,-4.0,-10.0
5.0,4.0,-6.0
-9.0,-18.0,-16.0
5.0,10.0,2.0
-11.0,12.0,22.0
-9.0,2.0,0.0
-3.0,24.0,26.0
11.0,-16.0,-8.0
17.0,-20.0,-24.0
-1.0,14.0,18.0
-15.0,24.0,24.0
13.0,2.0,-10.0
3.0,-10.0,-18.0
-17.0,-6.0,-18.0
9.0,-16.0,-22.0
1.0,-6.0,-8.0
3.0,22.0,32.0
13.0,-4.0,2.0
-7.0,2.0,4.0
3.0,0.0,-6.0
9.0,-2.0,0.0
17.0,10.0,4.0
13.0,-18.0,-26.0
15.0,-24.0,-24.0
1.0,6.0,-2.0
-7.0,-4.0,-4.0
-9.0,20.0,8.0
-17.0,10.0,12.0
-9.0,-12.0,-8.0
21.0,-12.0,-10.0
9.0,-12.0,-12.0
-13.0,2.0,-4.0
1.0,2.0,12.0
3.0,20.0,10.0
23.0,2.0,2.0
-1.0,-8.0,-20.0
-3.0,-22.0,-32.0
11.0,14.0,20.0
-7.0,10.0,24.0
-13.0,18.0,26.0
-1.0,-6.0,2.0
-5.0,28.0,22.0
-9.0,16.0,22.0
5.0,2.0,6.0
19.0,-6.0,-12.0
7.0,-2.0,-4.0
-1.0,-2.0,-12.0
-23.0,-2.0,-2.0
15.0,-8.0,6.0
-7.0,-6.0,-6.0
17.0,6.0,18.0
1.0,-8.0,-10.0
11.0,-12.0,-22.0
1.0,-14.0,-18.0
5.0,-8.0,-6.0
-13.0,4.0,-2.0
-17.0,-10.0,-4.0
-5.0,-4.0,6.0
-11.0,2.0,10.0
-7.0,14.0,10.0
-5.0,24.0,36.0
9.0,12.0,8.0
17.0,-10.0,-12.0
3.0,-12.0,-6.0
15.0,-4.0,-8.0
-17.0,20.0,24.0
1.0,20.0,20.0
3.0,6.0,2.0
-5.0,-2.0,-6.0
9.0,-20.0,-8.0
5.0,6.0,16.0
-11.0,6.0,-4.0
3.0,-24.0,-26.0
