x1,x2,x3,y
-1.0,-1.0,-1.0,674.0
-1.0,-1.0,0.0,370.0
-1.0,-1.0,1.0,292.0
-1.0,0.0,-1.0,338.0
-1.0,0.0,0.0,266.0
-1.0,0.0,1.0,210.0
-1.0,1.0,-1.0,170.0
-1.0,1.0,0.0,118.0
-1.0,1.0,1.0,90.0
0.0,-1.0,-1.0,1414.0
0.0,-1.0,0.0,1198.0
0.0,-1.0,1.0,634.0
0.0,0.0,-1.0,1022.0
0.0,0.0,0.0,620.0
0.0,0.0,1.0,438.0
0.0,1.0,-1.0,442.0
0.0,1.0,0.0,332.0
0.0,1.0,1.0,220.0
1.0,-1.0,-1.0,3636.0
1.0,-1.0,0.0,3184.0
1.0,-1.0,1.0,2000.0
1.0,0.0,-1.0,1568.0
1.0,0.0,0.0,1070.0
1.0,0.0,1.0,566.0
1.0,1.0,-1.0,1140.0
1.0,1.0,0.0,884.0
1.0,1.0,1.0,360.0
